가	k a
직쩝	t͡ɕ i k̚ t͡ɕ͈ ʌ p̚
진	t͡ɕ i n
진는다	t͡ɕ i n n ɯ n t a
진다	t͡ɕ i n t a
진시메서	t͡ɕ i n s i m e s ʌ
진실치	t͡ɕ i n s i l t͡ɕʰ i
진정	t͡ɕ i n t͡ɕ ʌ ŋ
진정하느라고	t͡ɕ i n t͡ɕ ʌ ŋ h a n ɯ ɾ a g o
진정하며	t͡ɕ i n t͡ɕ ʌ ŋ h a m j ʌ
진중한	t͡ɕ i n t͡ɕ u ŋ h a n
진짜	t͡ɕ i n t͡ɕ͈ a
진차를	t͡ɕ i n t͡ɕʰ a ɾ ɯ l
진하면	t͡ɕ i n h a m j ʌ n
진해서	t͡ɕ i n h ɛ s ʌ
진행하여	t͡ɕ i n h ɛ ŋ h a j ʌ
질리로	t͡ɕ i l l i ɾ o
질무늘	t͡ɕ i l m u n ɯ l
질무니	t͡ɕ i l m u n i
질문	t͡ɕ i l m u n
질투	t͡ɕ i l tʰ u
질투엳따	t͡ɕ i l tʰ u j ʌ t̚ t͈ a
질팡갈팡	t͡ɕ i l pʰ a ŋ k a l pʰ a ŋ
짐도	t͡ɕ i m t o
짐모퉁이로	t͡ɕ i m m o tʰ u ŋ i ɾ o
짐승에게	t͡ɕ i m s ɯ ŋ e g e
짐자	t͡ɕ i m t͡ɕ a
짐자카여	t͡ɕ i m t͡ɕ a kʰ a j ʌ
짐자카엳따	t͡ɕ i m t͡ɕ a kʰ a j ʌ t̚ t͈ a
짐진	t͡ɕ i m t͡ɕ i n
짐짜근	t͡ɕ i m t͡ɕ͈ a g ɯ n
집	t͡ɕ i p̚
집까지	t͡ɕ i p̚ k͈ a d͡ʑ i
집꼬	t͡ɕ i p̚ k͈ o
집뜨리	t͡ɕ i p̚ t͈ ɯ ɾ i
집씬	t͡ɕ i p̚ s͈ i n
집쭝하는	t͡ɕ i p̚ t͡ɕ͈ u ŋ h a n ɯ n
징계할	t͡ɕ i ŋ k j e h a l
징역깐다	t͡ɕ i ŋ j ʌ k̚ k͈ a n t a
짜가	t͡ɕ͈ a g a
짜고	t͡ɕ͈ a g o
짜리에	t͡ɕ͈ a ɾ i e
짜받따	t͡ɕ͈ a b a t̚ t͈ a
짜시니	t͡ɕ͈ a s i n i
짜아짜아	t͡ɕ͈ a a t͡ɕ͈ a a
짝	t͡ɕ͈ a k̚
짝까를	t͡ɕ͈ a k̚ k͈ a ɾ ɯ l
짝짝	t͡ɕ͈ a k̚ t͡ɕ͈ a k̚
짱마	t͡ɕ͈ a ŋ m a
짱차의	t͡ɕ͈ a ŋ t͡ɕʰ a ɰ i
쩌	t͡ɕ͈ ʌ
쩌늘	t͡ɕ͈ ʌ n ɯ l
쩌런	t͡ɕ͈ ʌ ɾ ʌ n
쩌를	t͡ɕ͈ ʌ ɾ ɯ l
쩌서야	t͡ɕ͈ ʌ s ʌ j a
쩌쪽	t͡ɕ͈ ʌ t͡ɕ͈ o k̚
쩍쩍	t͡ɕ͈ ʌ k̚ t͡ɕ͈ ʌ k̚
쩐	t͡ɕ͈ ʌ n
쩜수니의	t͡ɕ͈ ʌ m s u n i ɰ i
쩜점	t͡ɕ͈ ʌ m t͡ɕ ʌ m
쩡도는	t͡ɕ͈ ʌ ŋ t o n ɯ n
쩨	t͡ɕ͈ e
쪼게서	t͡ɕ͈ o g e s ʌ
쪼글	t͡ɕ͈ o g ɯ l
쪼르미	t͡ɕ͈ o ɾ ɯ m i
쪼리고	t͡ɕ͈ o ɾ i g o
쪼옥	t͡ɕ͈ o o k̚
쪼지미	t͡ɕ͈ o d͡ʑ i m i
쪼차	t͡ɕ͈ o t͡ɕʰ a
쪼차다니면서	t͡ɕ͈ o t͡ɕʰ a d a n i m j ʌ n s ʌ
쪼차온다	t͡ɕ͈ o t͡ɕʰ a o n t a
쪽	t͡ɕ͈ o k̚
쫃껴난	t͡ɕ͈ o t̚ k͈ j ʌ n a n
쫃껴서	t͡ɕ͈ o t̚ k͈ j ʌ s ʌ
쫑귿	t͡ɕ͈ o ŋ k ɯ t̚
쫙	t͡ɕ͈ w a k̚
쭈고바든	t͡ɕ͈ u g o b a d ɯ n
쭈는	t͡ɕ͈ u n ɯ n
쭈를	t͡ɕ͈ u ɾ ɯ l
쭈뼈태서	t͡ɕ͈ u p͈ j ʌ tʰ ɛ s ʌ
쭈위를	t͡ɕ͈ u w i ɾ ɯ l
쭈저안는다	t͡ɕ͈ u d͡ʑ ʌ a n n ɯ n t a
쭈저안잗따	t͡ɕ͈ u d͡ʑ ʌ a n t͡ɕ a t̚ t͈ a
쭉	t͡ɕ͈ u k̚
쭌비하엳떤	t͡ɕ͈ u n p i h a j ʌ t̚ t͈ ʌ n
쭐	t͡ɕ͈ u l
쭐까지는	t͡ɕ͈ u l k͈ a d͡ʑ i n ɯ n
쮜고	t͡ɕ͈ w i g o
쯩거하는	t͡ɕ͈ ɯ ŋ k ʌ h a n ɯ n
찌경이다	t͡ɕ͈ i g j ʌ ŋ i d a
찌그탄	t͡ɕ͈ i g ɯ tʰ a n
찌나친다	t͡ɕ͈ i n a t͡ɕʰ i n t a
찌드른	t͡ɕ͈ i d ɯ ɾ ɯ n
찌르릉	t͡ɕ͈ i ɾ ɯ l ɯ ŋ
찌른다	t͡ɕ͈ i ɾ ɯ n t a
찌버대어	t͡ɕ͈ i b ʌ d ɛ ʌ
찌저저라고	t͡ɕ͈ i d͡ʑ ʌ t͡ɕ ʌ ɾ a g o
찌저지는	t͡ɕ͈ i d͡ʑ ʌ t͡ɕ i n ɯ n
찌젇따	t͡ɕ͈ i d͡ʑ ʌ t̚ t͈ a
찌퍼	t͡ɕ͈ i pʰ ʌ
찌푸리고	t͡ɕ͈ i pʰ u ɾ i g o
찍끼	t͡ɕ͈ i k̚ k͈ i
찐는	t͡ɕ͈ i n n ɯ n
찓끼겓따	t͡ɕ͈ i t̚ k͈ i g e t̚ t͈ a
찔러	t͡ɕ͈ i l l ʌ
찔럳따	t͡ɕ͈ i l l ʌ t̚ t͈ a
찔리는지	t͡ɕ͈ i l l i n ɯ n t͡ɕ i
찝꼬	t͡ɕ͈ i p̚ k͈ o
찡그리던	t͡ɕ͈ i ŋ k ɯ ɾ i d ʌ n
차	t͡ɕʰ a
차근차근하게	t͡ɕʰ a g ɯ n t͡ɕʰ a g ɯ n h a g e
차기구쾨의	t͡ɕʰ a g i k u kʰ w e ɰ i
차도를	t͡ɕʰ a d o ɾ ɯ l
차라	t͡ɕʰ a ɾ a
차례가	t͡ɕʰ a ɾ j e g a
차로	t͡ɕʰ a ɾ o
차리고	t͡ɕʰ a ɾ i g o
차린다	t͡ɕʰ a ɾ i n t a
차마	t͡ɕʰ a m a
차맏따	t͡ɕʰ a m a t̚ t͈ a
차머	t͡ɕʰ a m ʌ
차므로	t͡ɕʰ a m ɯ ɾ o
차므리라	t͡ɕʰ a m ɯ ɾ i l a
차므며	t͡ɕʰ a m ɯ m j ʌ
차에서	t͡ɕʰ a e s ʌ
차자가던	t͡ɕʰ a d͡ʑ a g a d ʌ n
차자나	t͡ɕʰ a d͡ʑ a n a
차자라	t͡ɕʰ a d͡ʑ a ɾ a
차자봐도	t͡ɕʰ a d͡ʑ a b w a d o
차자서	t͡ɕʰ a d͡ʑ a s ʌ
차자완는가	t͡ɕʰ a d͡ʑ a w a n n ɯ n k a
차장이	t͡ɕʰ a d͡ʑ a ŋ i
차차	t͡ɕʰ a t͡ɕʰ a
차츰	t͡ɕʰ a t͡ɕʰ ɯ m
차츰차츰	t͡ɕʰ a t͡ɕʰ ɯ m t͡ɕʰ a t͡ɕʰ ɯ m
착	t͡ɕʰ a k̚
찬	t͡ɕʰ a n
찬성츠긔	t͡ɕʰ a n s ʌ ŋ t͡ɕʰ ɯ g i
찬스만	t͡ɕʰ a n s ɯ m a n
찯꼬	t͡ɕʰ a t̚ k͈ o
찯따	t͡ɕʰ a t̚ t͈ a
찯떤	t͡ɕʰ a t̚ t͈ ʌ n
찯찌	t͡ɕʰ a t̚ t͡ɕ͈ i
찰란한	t͡ɕʰ a l l a n h a n
찰찰	t͡ɕʰ a l t͡ɕʰ a l
참	t͡ɕʰ a m
참가	t͡ɕʰ a m k a
참꼬	t͡ɕʰ a m k͈ o
참느라고	t͡ɕʰ a m n ɯ ɾ a g o
참는다	t͡ɕʰ a m n ɯ n t a
참말	t͡ɕʰ a m m a l
참말로	t͡ɕʰ a m m a l l o
참서글	t͡ɕʰ a m s ʌ g ɯ l
창	t͡ɕʰ a ŋ
창경원	t͡ɕʰ a ŋ k j ʌ ŋ w ʌ n
창의	t͡ɕʰ a ŋ ɰ i
창자에	t͡ɕʰ a ŋ t͡ɕ a e
창하	t͡ɕʰ a ŋ h a
창하가	t͡ɕʰ a ŋ h a g a
창하는	t͡ɕʰ a ŋ h a n ɯ n
창하도	t͡ɕʰ a ŋ h a d o
창하의	t͡ɕʰ a ŋ h a ɰ i
채	t͡ɕʰ ɛ
채고	t͡ɕʰ ɛ g o
채글	t͡ɕʰ ɛ g ɯ l
채는	t͡ɕʰ ɛ n ɯ n
채로	t͡ɕʰ ɛ ɾ o
채영시니가	t͡ɕʰ ɛ j ʌ ŋ s i n i g a
채우게	t͡ɕʰ ɛ u g e
채우고마랃따	t͡ɕʰ ɛ u g o m a ɾ a t̚ t͈ a
채우면	t͡ɕʰ ɛ u m j ʌ n
채우처	t͡ɕʰ ɛ u t͡ɕʰ ʌ
채주의	t͡ɕʰ ɛ d͡ʑ u ɰ i
채찍꽈	t͡ɕʰ ɛ t͡ɕ͈ i k̚ k͈ w a
책쌍	t͡ɕʰ ɛ k̚ s͈ a ŋ
챙기러	t͡ɕʰ ɛ ŋ k i ɾ ʌ
챙망을	t͡ɕʰ ɛ ŋ m a ŋ ɯ l
처녀를	t͡ɕʰ ʌ n j ʌ ɾ ɯ l
처뉵뺑미터	t͡ɕʰ ʌ n j u k̚ p͈ ɛ ŋ m i tʰ ʌ
처다보면서	t͡ɕʰ ʌ d a b o m j ʌ n s ʌ
처다보앋따	t͡ɕʰ ʌ d a b o a t̚ t͈ a
처다보앋씀니다	t͡ɕʰ ʌ d a b o a t̚ s͈ ɯ m n i d a
처다본다	t͡ɕʰ ʌ d a b o n t a
처드럳따	t͡ɕʰ ʌ d ɯ ɾ ʌ t̚ t͈ a
처들고	t͡ɕʰ ʌ d ɯ l k o
처먹꾸	t͡ɕʰ ʌ m ʌ k̚ k͈ u
처서	t͡ɕʰ ʌ s ʌ
처으미다	t͡ɕʰ ʌ ɯ m i d a
처음	t͡ɕʰ ʌ ɯ m
천	t͡ɕʰ ʌ n
천냥	t͡ɕʰ ʌ n n j a ŋ
천부늘	t͡ɕʰ ʌ n p u n ɯ l
천사의	t͡ɕʰ ʌ n s a ɰ i
천장만	t͡ɕʰ ʌ n t͡ɕ a ŋ m a n
천장을	t͡ɕʰ ʌ n t͡ɕ a ŋ ɯ l
천천히	t͡ɕʰ ʌ n t͡ɕʰ ʌ n h i
천행이얻껜느냐	t͡ɕʰ ʌ n h ɛ ŋ i ʌ t̚ k͈ e n n ɯ n j a
첟	t͡ɕʰ ʌ t̚
첟따	t͡ɕʰ ʌ t̚ t͈ a
첟째	t͡ɕʰ ʌ t̚ t͡ɕ͈ ɛ
첟째네	t͡ɕʰ ʌ t̚ t͡ɕ͈ ɛ n e
첟째는	t͡ɕʰ ʌ t̚ t͡ɕ͈ ɛ n ɯ n
첟째라면	t͡ɕʰ ʌ t̚ t͡ɕ͈ ɛ ɾ a m j ʌ n
첟째를	t͡ɕʰ ʌ t̚ t͡ɕ͈ ɛ ɾ ɯ l
첟째에게로	t͡ɕʰ ʌ t̚ t͡ɕ͈ ɛ e g e ɾ o
첟째와	t͡ɕʰ ʌ t̚ t͡ɕ͈ ɛ w a
첟째의	t͡ɕʰ ʌ t̚ t͡ɕ͈ ɛ ɰ i
첟째인	t͡ɕʰ ʌ t̚ t͡ɕ͈ ɛ i n
철가블	t͡ɕʰ ʌ l k a b ɯ l
철교가	t͡ɕʰ ʌ l k j o g a
철벅꺼리고	t͡ɕʰ ʌ l p ʌ k̚ k͈ ʌ ɾ i g o
철사의	t͡ɕʰ ʌ l s a ɰ i
철수는	t͡ɕʰ ʌ l s u n ɯ n
철수와	t͡ɕʰ ʌ l s u w a
철수하면서	t͡ɕʰ ʌ l s u h a m j ʌ n s ʌ
철써	t͡ɕʰ ʌ l s͈ ʌ
첨지는	t͡ɕʰ ʌ m t͡ɕ i n ɯ n
첨지에게는	t͡ɕʰ ʌ m t͡ɕ i e g e n ɯ n
첨지의	t͡ɕʰ ʌ m t͡ɕ i ɰ i
청냥니	t͡ɕʰ ʌ ŋ n j a ŋ n i
청년들도	t͡ɕʰ ʌ ŋ n j ʌ n t ɯ l t o
청석꼬를	t͡ɕʰ ʌ ŋ s ʌ k̚ k͈ o ɾ ɯ l
청석꼬릐	t͡ɕʰ ʌ ŋ s ʌ k̚ k͈ o ɾ i
청승	t͡ɕʰ ʌ ŋ s ɯ ŋ
청아	t͡ɕʰ ʌ ŋ a
청아를	t͡ɕʰ ʌ ŋ a ɾ ɯ l
청워늬	t͡ɕʰ ʌ ŋ w ʌ n i
청추느로	t͡ɕʰ ʌ ŋ t͡ɕʰ u n ɯ ɾ o
청춘	t͡ɕʰ ʌ ŋ t͡ɕʰ u n
청하는	t͡ɕʰ ʌ ŋ h a n ɯ n
체격꽈는	t͡ɕʰ e g j ʌ k̚ k͈ w a n ɯ n
체유기다	t͡ɕʰ e j u g i d a
체포돼써	t͡ɕʰ e pʰ o d w ɛ s͈ ʌ
체하고	t͡ɕʰ e h a g o
체하리라	t͡ɕʰ e h a ɾ i l a
체하며	t͡ɕʰ e h a m j ʌ
초나흘	t͡ɕʰ o n a h ɯ l
초라한	t͡ɕʰ o ɾ a h a n
초롱부른	t͡ɕʰ o ɾ o ŋ p u ɾ ɯ n
초막	t͡ɕʰ o m a k̚
초저녁뽀다도	t͡ɕʰ o d͡ʑ ʌ n j ʌ k̚ p͈ o d a t o
촏까락처럼	t͡ɕʰ o t̚ k͈ a ɾ a k̚ t͡ɕʰ ʌ ɾ ʌ m
총독	t͡ɕʰ o ŋ t o k̚
총애그로	t͡ɕʰ o ŋ ɛ g ɯ ɾ o
총총히	t͡ɕʰ o ŋ t͡ɕʰ o ŋ h i
최고버붜닌	t͡ɕʰ w e g o b ʌ p w ʌ n i n
최서늘	t͡ɕʰ w e s ʌ n ɯ l
최아길	t͡ɕʰ w e a g i l
최후로	t͡ɕʰ w e h u ɾ o
최후의	t͡ɕʰ w e h u ɰ i
추기	t͡ɕʰ u g i
추기가	t͡ɕʰ u g i k a
추누가	t͡ɕʰ u n u g a
추누는	t͡ɕʰ u n u n ɯ n
추누를	t͡ɕʰ u n u ɾ ɯ l
추누바께	t͡ɕʰ u n u b a k͈ e
추누에게	t͡ɕʰ u n u e g e
추누와	t͡ɕʰ u n u w a
추누의	t͡ɕʰ u n u ɰ i
추리비	t͡ɕʰ u ɾ i b i
추림문	t͡ɕʰ u ɾ i m m u n
추수를	t͡ɕʰ u s u ɾ ɯ l
추운	t͡ɕʰ u u n
추카드려요	t͡ɕʰ u kʰ a d ɯ ɾ j ʌ j o
출동하면	t͡ɕʰ u l t o ŋ h a m j ʌ n
충분핻짜나	t͡ɕʰ u ŋ p u n h ɛ t̚ t͡ɕ͈ a n a
충성된	t͡ɕʰ u ŋ s ʌ ŋ t w e n
충성에서	t͡ɕʰ u ŋ s ʌ ŋ e s ʌ
충실하엳따	t͡ɕʰ u ŋ s i l h a j ʌ t̚ t͈ a
취소하십씨오	t͡ɕʰ w i s o h a s i p̚ s͈ i o
취조실	t͡ɕʰ w i d͡ʑ o s i l
취중에도	t͡ɕʰ w i d͡ʑ u ŋ e d o
취택뙨	t͡ɕʰ w i tʰ ɛ k̚ t͈ w e n
취하신	t͡ɕʰ w i h a s i n
취하여쓰니	t͡ɕʰ w i h a j ʌ s͈ ɯ n i
취할	t͡ɕʰ w i h a l
취해	t͡ɕʰ w i h ɛ
츠게서는	t͡ɕʰ ɯ g e s ʌ n ɯ n
층층대를	t͡ɕʰ ɯ ŋ t͡ɕʰ ɯ ŋ t ɛ ɾ ɯ l
치고	t͡ɕʰ i g o
치고는	t͡ɕʰ i g o n ɯ n
치기로	t͡ɕʰ i g i ɾ o
치는	t͡ɕʰ i n ɯ n
치던	t͡ɕʰ i d ʌ n
치마	t͡ɕʰ i m a
치맏뀌를	t͡ɕʰ i m a t̚ k͈ w i ɾ ɯ l
치맏짜라게	t͡ɕʰ i m a t̚ t͡ɕ͈ a ɾ a g e
치맏짜라글	t͡ɕʰ i m a t̚ t͡ɕ͈ a ɾ a g ɯ l
치며	t͡ɕʰ i m j ʌ
치미라도	t͡ɕʰ i m i ɾ a d o
치미러	t͡ɕʰ i m i ɾ ʌ
치밀고	t͡ɕʰ i m i l k o
치받처서	t͡ɕʰ i b a t̚ t͡ɕʰ ʌ s ʌ
치받치드	t͡ɕʰ i b a t̚ t͡ɕʰ i d ɯ
치사믜	t͡ɕʰ i s a m i
치일꼬	t͡ɕʰ i i l k͈ o
친구가	t͡ɕʰ i n k u g a
친구의	t͡ɕʰ i n k u ɰ i
친다	t͡ɕʰ i n t a
친정부치나	t͡ɕʰ i n t͡ɕ ʌ ŋ p u t͡ɕʰ i n a
친하던	t͡ɕʰ i n h a d ʌ n
칠룡이는	t͡ɕʰ i l l j o ŋ i n ɯ n
침무글	t͡ɕʰ i m m u g ɯ l
침해받찌	t͡ɕʰ i m h ɛ b a t̚ t͡ɕ͈ i
칭찬바들	t͡ɕʰ i ŋ t͡ɕʰ a n p a d ɯ l
칭하시고	t͡ɕʰ i ŋ h a s i g o
칭하시니라	t͡ɕʰ i ŋ h a s i n i ɾ a
카	kʰ a
카고	kʰ a g o
카기도	kʰ a g i d o
카는	kʰ a n ɯ n
카른	kʰ a ɾ ɯ n
카리요	kʰ a ɾ i j o
카며	kʰ a m j ʌ
카엳따	kʰ a j ʌ t̚ t͈ a
카카오게임즈	kʰ a kʰ a o g e i m t͡ɕ ɯ
칸	kʰ a n
칼	kʰ a l
캄캄한	kʰ a m kʰ a m h a n
캐	kʰ ɛ
캐도	kʰ ɛ d o
커다라케	kʰ ʌ d a ɾ a kʰ e
커다란	kʰ ʌ d a ɾ a n
커뮤니케이션	kʰ ʌ m j u n i kʰ e i s j ʌ n
커뮤니티	kʰ ʌ m j u n i tʰ i
커피는	kʰ ʌ pʰ i n ɯ n
컫따	kʰ ʌ t̚ t͈ a
컴컴하므로	kʰ ʌ m kʰ ʌ m h a m ɯ ɾ o
컴컴해서	kʰ ʌ m kʰ ʌ m h ɛ s ʌ
컴퓨터와	kʰ ʌ m pʰ j u tʰ ʌ w a
케이씨여썯따	kʰ e i s͈ i j ʌ s͈ ʌ t̚ t͈ a
케이알	kʰ e i a l
켕긴다고	kʰ e ŋ k i n t a g o
켜고	kʰ j ʌ g o
켜다	kʰ j ʌ d a
켜켜이	kʰ j ʌ kʰ j ʌ i
코가	kʰ o g a
코를	kʰ o ɾ ɯ l
코에	kʰ o e
코에서	kʰ o e s ʌ
콘텐츠를	kʰ o n tʰ e n t͡ɕʰ ɯ ɾ ɯ l
쾌미	kʰ w ɛ m i
쿠려첟따	kʰ u ɾ j ʌ t͡ɕʰ ʌ t̚ t͈ a
쿠키를	kʰ u kʰ i ɾ ɯ l
쿵	kʰ u ŋ
크게	kʰ ɯ g e
크니리라고	kʰ ɯ n i ɾ i l a g o
크롬	kʰ ɯ ɾ o m
크지를	kʰ ɯ d͡ʑ i ɾ ɯ l
큰	kʰ ɯ n
큰기리라야	kʰ ɯ n k i ɾ i l a j a
클겨본다	kʰ ɯ l k j ʌ b o n t a
키	kʰ i
키를	kʰ i ɾ ɯ l
키워간다	kʰ i w ʌ g a n t a
킥킥	kʰ i k̚ kʰ i k̚
타고	tʰ a g o
타기를	tʰ a g i ɾ ɯ l
타냐	tʰ a n j a
타는	tʰ a n ɯ n
타니까	tʰ a n i k͈ a
타래가	tʰ a ɾ ɛ g a
타면서	tʰ a m j ʌ n s ʌ
타서	tʰ a s ʌ
타스로	tʰ a s ɯ ɾ o
타시랍씨요	tʰ a s i ɾ a p̚ s͈ i j o
타엳따	tʰ a j ʌ t̚ t͈ a
타오른다	tʰ a o ɾ ɯ n t a
타일러두	tʰ a i l l ʌ d u
탁	tʰ a k̚
탁빼기를	tʰ a k̚ p͈ ɛ g i ɾ ɯ l
탄	tʰ a n
탄다	tʰ a n t a
탄시글	tʰ a n s i g ɯ l
탄주가	tʰ a n t͡ɕ u g a
탄주는	tʰ a n t͡ɕ u n ɯ n
탄핵껼정은	tʰ a n h ɛ k̚ k͈ j ʌ l t͡ɕ ʌ ŋ ɯ n
탇따	tʰ a t̚ t͈ a
탈	tʰ a l
탐스럽끼도	tʰ a m s ɯ ɾ ʌ p̚ k͈ i d o
탐하는	tʰ a m h a n ɯ n
탕	tʰ a ŋ
태	tʰ ɛ
태도를	tʰ ɛ d o ɾ ɯ l
태연한	tʰ ɛ j ʌ n h a n
태우며	tʰ ɛ u m j ʌ
태울	tʰ ɛ u l
터게	tʰ ʌ g e
터글	tʰ ʌ g ɯ l
터에	tʰ ʌ e
터이지	tʰ ʌ i d͡ʑ i
터저서	tʰ ʌ d͡ʑ ʌ s ʌ
턱	tʰ ʌ k̚
털고	tʰ ʌ l k o
털며	tʰ ʌ l m j ʌ
털썩	tʰ ʌ l s͈ ʌ k̚
텅	tʰ ʌ ŋ
텅미테만	tʰ ʌ ŋ m i tʰ e m a n
텅미틀	tʰ ʌ ŋ m i tʰ ɯ l
테다	tʰ e d a
테마파크가	tʰ e m a pʰ a kʰ ɯ g a
테야	tʰ e j a
토끼겅듀	tʰ o k͈ i g ʌ ŋ t j u
토막토막	tʰ o m a k̚ tʰ o m a k̚
토실토실한	tʰ o s i l tʰ o s i l h a n
토요이레는	tʰ o j o i ɾ e n ɯ n
토의하던	tʰ o ɰ i h a d ʌ n
통계엳따	tʰ o ŋ k j e j ʌ t̚ t͈ a
통신사	tʰ o ŋ s i n s a
통지가	tʰ o ŋ t͡ɕ i g a
통채근	tʰ o ŋ t͡ɕʰ ɛ g ɯ n
통하여	tʰ o ŋ h a j ʌ
퇴근하려고	tʰ w e g ɯ n h a ɾ j ʌ g o
투카면	tʰ u kʰ a m j ʌ n
투표	tʰ u pʰ j o
투표된	tʰ u pʰ j o d w e n
투표를	tʰ u pʰ j o ɾ ɯ l
투표해	tʰ u pʰ j o h ɛ
툭	tʰ u k̚
툭툭	tʰ u k̚ tʰ u k̚
튀어저	tʰ w i ʌ d͡ʑ ʌ
트더젇따	tʰ ɯ d ʌ d͡ʑ ʌ t̚ t͈ a
트러	tʰ ɯ ɾ ʌ
트메	tʰ ɯ m e
트위터	tʰ ɯ w i tʰ ʌ
트커에도	tʰ ɯ kʰ ʌ e d o
트키	tʰ ɯ kʰ i
특쌔근	tʰ ɯ k̚ s͈ ɛ g ɯ n
특썽을	tʰ ɯ k̚ s͈ ʌ ŋ ɯ l
특썽화	tʰ ɯ k̚ s͈ ʌ ŋ h w a
틀리멉썯따	tʰ ɯ l l i m ʌ p̚ s͈ ʌ t̚ t͈ a
틀린	tʰ ɯ l l i n
틈나는	tʰ ɯ m n a n ɯ n
틈마다	tʰ ɯ m m a d a
파고다공원	pʰ a g o d a g o ŋ w ʌ n
파도	pʰ a d o
파라니	pʰ a ɾ a n i
파라케	pʰ a ɾ a kʰ e
파레	pʰ a ɾ e
파뤌도	pʰ a ɾ w ʌ l t o
파를	pʰ a ɾ ɯ l
파리	pʰ a ɾ i
파면하메	pʰ a m j ʌ n h a m e
파보고	pʰ a b o g o
파아글	pʰ a a g ɯ l
파이니	pʰ a i n i
파이어폭쓰를	pʰ a i ʌ pʰ o k̚ s͈ ɯ ɾ ɯ l
판검사를	pʰ a n k ʌ m s a ɾ ɯ l
판겨른	pʰ a n k j ʌ ɾ ɯ n
판교	pʰ a n k j o
팔심	pʰ a l s i m
팔십	pʰ a l s i p̚
패망을	pʰ ɛ m a ŋ ɯ l
패물라틀	pʰ ɛ m u l l a tʰ ɯ l
패인	pʰ ɛ i n
팽경창에게	pʰ ɛ ŋ k j ʌ ŋ t͡ɕʰ a ŋ e g e
퍼부어라	pʰ ʌ b u ʌ ɾ a
퍼지며	pʰ ʌ d͡ʑ i m j ʌ
퍼지자	pʰ ʌ d͡ʑ i t͡ɕ a
퍽퍽	pʰ ʌ k̚ pʰ ʌ k̚
펄펄	pʰ ʌ l pʰ ʌ l
페이지를	pʰ e i d͡ʑ i ɾ ɯ l
펴난히	pʰ j ʌ n a n h i
펴느로	pʰ j ʌ n ɯ ɾ o
펴늘	pʰ j ʌ n ɯ l
펴늬저믄	pʰ j ʌ n i d͡ʑ ʌ m ɯ n
펴려	pʰ j ʌ ɾ j ʌ
편성은	pʰ j ʌ n s ʌ ŋ ɯ n
편지를	pʰ j ʌ n t͡ɕ i ɾ ɯ l
편짜글	pʰ j ʌ n t͡ɕ͈ a g ɯ l
편하고	pʰ j ʌ n h a g o
편할	pʰ j ʌ n h a l
펼리한	pʰ j ʌ l l i h a n
평생	pʰ j ʌ ŋ s ɛ ŋ
평소에는	pʰ j ʌ ŋ s o e n ɯ n
평안도	pʰ j ʌ ŋ a n t o
평쯤	pʰ j ʌ ŋ t͡ɕ͈ ɯ m
포대를	pʰ o d ɛ ɾ ɯ l
포대와	pʰ o d ɛ w a
포도주는	pʰ o d o d͡ʑ u n ɯ n
포케세	pʰ o kʰ e s e
포케세서	pʰ o kʰ e s e s ʌ
폭	pʰ o k̚
폭풍우가치	pʰ o k̚ pʰ u ŋ u g a t͡ɕʰ i
퐁녀글	pʰ o ŋ n j ʌ g ɯ l
퐁노시키려는	pʰ o ŋ n o s i kʰ i ɾ j ʌ n ɯ n
표정으로	pʰ j o d͡ʑ ʌ ŋ ɯ ɾ o
표정은	pʰ j o d͡ʑ ʌ ŋ ɯ n
표정을	pʰ j o d͡ʑ ʌ ŋ ɯ l
푸럳따	pʰ u ɾ ʌ t̚ t͈ a
푸르고	pʰ u ɾ ɯ g o
푸르다	pʰ u ɾ ɯ d a
푸르르	pʰ u ɾ ɯ l ɯ
푸리	pʰ u ɾ i
푸믈	pʰ u m ɯ l
푹	pʰ u k̚
푼푼하엳따	pʰ u n pʰ u n h a j ʌ t̚ t͈ a
풀기	pʰ u l k i
풀리는	pʰ u l l i n ɯ n
풀바테	pʰ u l p a tʰ e
품꼬	pʰ u m k͈ o
풍부하메	pʰ u ŋ p u h a m e
풍허니	pʰ u ŋ h ʌ n i
프라이버시를	pʰ ɯ ɾ a i b ʌ s i ɾ ɯ l
피	pʰ i
피가	pʰ i g a
피로해진	pʰ i ɾ o h ɛ d͡ʑ i n
피료가	pʰ i ɾ j o g a
피료한	pʰ i ɾ j o h a n
피를	pʰ i ɾ ɯ l
피아노	pʰ i a n o
피아노도	pʰ i a n o d o
피아노에	pʰ i a n o e
피어선	pʰ i ʌ s ʌ n
피어오르는	pʰ i ʌ o ɾ ɯ n ɯ n
피하며	pʰ i h a m j ʌ
피하면서	pʰ i h a m j ʌ n s ʌ
피하여	pʰ i h a j ʌ
피하엳따	pʰ i h a j ʌ t̚ t͈ a
핃끼	pʰ i t̚ k͈ i
필하모닉	pʰ i l h a m o n i k̚
핑계를	pʰ i ŋ k j e ɾ ɯ l
핑핑	pʰ i ŋ pʰ i ŋ
하거블	h a g ʌ b ɯ l
하게	h a g e
하고	h a g o
하고는	h a g o n ɯ n
하고도	h a g o d o
하궈느로	h a g w ʌ n ɯ ɾ o
하궈늘	h a g w ʌ n ɯ l
하궈늬	h a g w ʌ n i
하권	h a g w ʌ n
하기	h a g i
하기에	h a g i e
하나	h a n a
