аа	aː
цоо	t͡sʰ ɔː
цоожны	t͡sʰ ɔː t͡ʃ n iː
цоожтой	t͡sʰ ɔː t͡ʃ tʰ ɔ j
цоолон	t͡sʰ ɔː ɮ ɔ n
цоонотол	t͡sʰ ɔː n ɔ tʰ ɔ ɮ
цооргонын	t͡sʰ ɔː r ɡ ɔ n iː n
цоохор	t͡sʰ ɔː x ɔ r
цоргитол	t͡sʰ ɔ r ɡ i tʰ ɔ ɮ
цорын	t͡sʰ ɔ r iː n
цохидог	t͡sʰ ɔ x i t ɔ ɡ
цохиж	t͡sʰ ɔ x i t͡ʃ
цохилдог	t͡sʰ ɔ x i ɮ t ɔ ɡ
цохилдуулчихаар	t͡sʰ ɔ x i ɮ t ʊː ɮ t͡ʃʰ i x aː r
цохилж	t͡sʰ ɔ x i ɮ t͡ʃ
цохилоогүй	t͡sʰ ɔ x i ɮ ɔː ɡ u j
цохилоод	t͡sʰ ɔ x i ɮ ɔː t
цохилт	t͡sʰ ɔ x i ɮ tʰ
цохино	t͡sʰ ɔ x i n ɔ
цохиод	t͡sʰ ɔ x iɔ t
цохисон	t͡sʰ ɔ x i s ɔ n
цохиулж	t͡sʰ ɔ x iʊ ɮ t͡ʃ
цохиулсан	t͡sʰ ɔ x iʊ ɮ s a n
цохичихгүй	t͡sʰ ɔ x i t͡ʃʰ i x ɡ u j
цохичихжээ	t͡sʰ ɔ x i t͡ʃʰ i x t͡ʃ ɛː
цохны	t͡sʰ ɔ x n iː
цохон	t͡sʰ ɔ x ɔ n
цохыг	t͡sʰ ɔ x iː ɡ
цочин	t͡sʰ ɔ t͡ʃʰ i n
цочоодог	t͡sʰ ɔ t͡ʃʰ ɔː t ɔ ɡ
цочоохгүй	t͡sʰ ɔ t͡ʃʰ ɔː x ɡ u j
цочсон	t͡sʰ ɔ t͡ʃʰ s ɔ n
цочсонгүй	t͡sʰ ɔ t͡ʃʰ s ɔ n ɡ u j
цочсоноо	t͡sʰ ɔ t͡ʃʰ s ɔ n ɔː
цуваа	t͡sʰ ʊ w aː
цувааны	t͡sʰ ʊ w aː n iː
цуван	t͡sʰ ʊ w a n
цуврал	t͡sʰ ʊ w r a ɮ
цувралууд	t͡sʰ ʊ w r a ɮ ʊː t
цувран	t͡sʰ ʊ w r a n
цувуулан	t͡sʰ ʊ w ʊː ɮ a n
цувуулж	t͡sʰ ʊ w ʊː ɮ t͡ʃ
цуг	t͡sʰ ʊ ɡ
цуглаад	t͡sʰ ʊ ɡ ɮ aː t
цуглаан	t͡sʰ ʊ ɡ ɮ aː n
цуглаанд	t͡sʰ ʊ ɡ ɮ aː n t
цугладаг	t͡sʰ ʊ ɡ ɮ a t a ɡ
цуглажээ	t͡sʰ ʊ ɡ ɮ a t͡ʃ ɛː
цуглан	t͡sʰ ʊ ɡ ɮ a n
цугларахаар	t͡sʰ ʊ ɡ ɮ a r a x aː r
цугларна	t͡sʰ ʊ ɡ ɮ a r n a
цугларч	t͡sʰ ʊ ɡ ɮ a r t͡ʃʰ
цугласан	t͡sʰ ʊ ɡ ɮ a s a n
цуглуул	t͡sʰ ʊ ɡ ɮ ʊː ɮ
цуглуулаад	t͡sʰ ʊ ɡ ɮ ʊː ɮ aː t
цуглуулан	t͡sʰ ʊ ɡ ɮ ʊː ɮ a n
цуглуулах	t͡sʰ ʊ ɡ ɮ ʊː ɮ a x
цуглуулахаар	t͡sʰ ʊ ɡ ɮ ʊː ɮ a x aː r
цуглуулга	t͡sʰ ʊ ɡ ɮ ʊː ɮ ɡ a
цуглуулгаа	t͡sʰ ʊ ɡ ɮ ʊː ɮ ɡ aː
цуглуулгыг	t͡sʰ ʊ ɡ ɮ ʊː ɮ ɡ iː ɡ
цуглуулж	t͡sʰ ʊ ɡ ɮ ʊː ɮ t͡ʃ
цул	t͡sʰ ʊ ɮ
цулбуураа	t͡sʰ ʊ ɮ p ʊː r aː
цулцгар	t͡sʰ ʊ ɮ t͡sʰ ɡ a r
цурхиран	t͡sʰ ʊ r x i r a n
цус	t͡sʰ ʊ s
цусаа	t͡sʰ ʊ s aː
цусан	t͡sʰ ʊ s a n
цусанд	t͡sʰ ʊ s a n t
цусгүй	t͡sʰ ʊ s ɡ u j
цуснаас	t͡sʰ ʊ s n aː s
цусны	t͡sʰ ʊ s n iː
цуст	t͡sʰ ʊ s tʰ
цутгадаг	t͡sʰ ʊ tʰ ɡ a t a ɡ
цуу	t͡sʰ ʊː
цуулж	t͡sʰ ʊː ɮ t͡ʃ
цуурайтаж	t͡sʰ ʊː r a j tʰ a t͡ʃ
цуурайтан	t͡sʰ ʊː r a j tʰ a n
цухалдан	t͡sʰ ʊ x a ɮ t a n
цухалзаад	t͡sʰ ʊ x a ɮ t͡s aː t
цухуйж	t͡sʰ ʊ x ʊi t͡ʃ
цуцсан	t͡sʰ ʊ t͡sʰ s a n
цэв	t͡sʰ ɛ w
цэвдэг	t͡sʰ ɛ w t ɛ ɡ
цэвэр	t͡sʰ ɛ w ɛ r
цэвэрлэгдэж	t͡sʰ ɛ w ɛ r ɮ ɛ ɡ t ɛ t͡ʃ
цэвэрлэгээ	t͡sʰ ɛ w ɛ r ɮ ɛ ɡ ɛː
цэвэрлэж	t͡sʰ ɛ w ɛ r ɮ ɛ t͡ʃ
цэвэрлэнэ	t͡sʰ ɛ w ɛ r ɮ ɛ n ɛ
цэвэрлэх	t͡sʰ ɛ w ɛ r ɮ ɛ x
цэвэрхэн	t͡sʰ ɛ w ɛ r x ɛ n
цэг	t͡sʰ ɛ ɡ
цэгийн	t͡sʰ ɛ ɡ iː n
цэгцгүй	t͡sʰ ɛ ɡ t͡sʰ ɡ u j
цэгцтэй	t͡sʰ ɛ ɡ t͡sʰ tʰ ɛ j
цэгцэрч	t͡sʰ ɛ ɡ t͡sʰ ɛ r t͡ʃʰ
цэгээн	t͡sʰ ɛ ɡ ɛː n
цэл	t͡sʰ ɛ ɮ
цэлгэр	t͡sʰ ɛ ɮ ɡ ɛ r
цэлийн	t͡sʰ ɛ ɮ iː n
цэлмэж	t͡sʰ ɛ ɮ m ɛ t͡ʃ
цэлмэсэн	t͡sʰ ɛ ɮ m ɛ s ɛ n
цэлмээд	t͡sʰ ɛ ɮ m ɛː t
цэлсхийн	t͡sʰ ɛ ɮ s x iː n
цэмбийтэл	t͡sʰ ɛ m p iː tʰ ɛ ɮ
цэмцгэр	t͡sʰ ɛ m t͡sʰ ɡ ɛ r
цэмцийнэ	t͡sʰ ɛ m t͡sʰ iː n ɛ
цэн	t͡sʰ ɛ n
цэнгэл	t͡sʰ ɛ n ɡ ɛ ɮ
цэнгэлдэх	t͡sʰ ɛ n ɡ ɛ ɮ t ɛ x
цэнгүй	t͡sʰ ɛ n ɡ u j
цэнийг	t͡sʰ ɛ n iː ɡ
цэнтэй	t͡sʰ ɛ n tʰ ɛ j
цэнтэйнхээ	t͡sʰ ɛ n tʰ ɛ j n x ɛː
цэнхэр	t͡sʰ ɛ n x ɛ r
цэнхэрлэн	t͡sʰ ɛ n x ɛ r ɮ ɛ n
цэнэглэж	t͡sʰ ɛ n ɛ ɡ ɮ ɛ t͡ʃ
цэнэглэх	t͡sʰ ɛ n ɛ ɡ ɮ ɛ x
цэнэглээгүй	t͡sʰ ɛ n ɛ ɡ ɮ ɛː ɡ u j
цэнэгт	t͡sʰ ɛ n ɛ ɡ tʰ
цэнэх	t͡sʰ ɛ n ɛ x
цэргийг	t͡sʰ ɛ r ɡ iː ɡ
цэргийн	t͡sʰ ɛ r ɡ iː n
цэргийнхээ	t͡sʰ ɛ r ɡ iː n x ɛː
цэргээ	t͡sʰ ɛ r ɡ ɛː
цэргээрээ	t͡sʰ ɛ r ɡ ɛː r ɛː
цэргээс	t͡sʰ ɛ r ɡ ɛː s
цэргүүд	t͡sʰ ɛ r ɡ uː t
цэргүүдийг	t͡sʰ ɛ r ɡ uː t iː ɡ
цэргүүдтэй	t͡sʰ ɛ r ɡ uː t tʰ ɛ j
цэрмаа	t͡sʰ ɛ r m aː
цэрмааг	t͡sʰ ɛ r m aː ɡ
цэрмаагийн	t͡sʰ ɛ r m aː ɡ iː n
цэрэг	t͡sʰ ɛ r ɛ ɡ
цэрэгмаа	t͡sʰ ɛ r ɛ ɡ m aː
цэрэгмааг	t͡sʰ ɛ r ɛ ɡ m aː ɡ
цэрэгмаагийн	t͡sʰ ɛ r ɛ ɡ m aː ɡ iː n
цэрэгт	t͡sʰ ɛ r ɛ ɡ tʰ
цэрэндагва	t͡sʰ ɛ r ɛ n t a ɡ w a
цэрэндагвынх	t͡sʰ ɛ r ɛ n t a ɡ w iː n x
цэрэнпунцаг	t͡sʰ ɛ r ɛ n pʰ ʊ n t͡sʰ a ɡ
цэрэнпунцагт	t͡sʰ ɛ r ɛ n pʰ ʊ n t͡sʰ a ɡ tʰ
цэрэнханд	t͡sʰ ɛ r ɛ n x a n t
цэрэнчимэд	t͡sʰ ɛ r ɛ n t͡ʃʰ i m ɛ t
цэцгийн	t͡sʰ ɛ t͡sʰ ɡ iː n
цэцгүүдийн	t͡sʰ ɛ t͡sʰ ɡ uː t iː n
цэцэг	t͡sʰ ɛ t͡sʰ ɛ ɡ
цэцэглэж	t͡sʰ ɛ t͡sʰ ɛ ɡ ɮ ɛ t͡ʃ
цэцэглэнэ	t͡sʰ ɛ t͡sʰ ɛ ɡ ɮ ɛ n ɛ
цэцэгтэй	t͡sʰ ɛ t͡sʰ ɛ ɡ tʰ ɛ j
цэцэн	t͡sʰ ɛ t͡sʰ ɛ n
цэцэрлэг	t͡sʰ ɛ t͡sʰ ɛ r ɮ ɛ ɡ
цэцэрлэгийг	t͡sʰ ɛ t͡sʰ ɛ r ɮ ɛ ɡ iː ɡ
цэцэрлэгийн	t͡sʰ ɛ t͡sʰ ɛ r ɮ ɛ ɡ iː n
цэцэрлэгт	t͡sʰ ɛ t͡sʰ ɛ r ɮ ɛ ɡ tʰ
цэцэрлэгтэй	t͡sʰ ɛ t͡sʰ ɛ r ɮ ɛ ɡ tʰ ɛ j
цэцэрлэгүүд	t͡sʰ ɛ t͡sʰ ɛ r ɮ ɛ ɡ uː t
цээжилчихдэг	t͡sʰ ɛː t͡ʃ i ɮ t͡ʃʰ i x t ɛ ɡ
цээжин	t͡sʰ ɛː t͡ʃ i n
цээжинд	t͡sʰ ɛː t͡ʃ i n t
цээжиндээ	t͡sʰ ɛː t͡ʃ i n t ɛː
цээжлээд	t͡sʰ ɛː t͡ʃ ɮ ɛː t
цээжээ	t͡sʰ ɛː t͡ʃ ɛː
цээжээр	t͡sʰ ɛː t͡ʃ ɛː r
цээжээрээ	t͡sʰ ɛː t͡ʃ ɛː r ɛː
цээнээ	t͡sʰ ɛː n ɛː
цээргүй	t͡sʰ ɛː r ɡ u j
цээрлэл	t͡sʰ ɛː r ɮ ɛ ɮ
цээрлэнэ	t͡sʰ ɛː r ɮ ɛ n ɛ
цээрээс	t͡sʰ ɛː r ɛː s
цүнх	t͡sʰ u n x
цүнхний	t͡sʰ u n x n iː
цүнхэлчихлээ	t͡sʰ u n x ɛ ɮ t͡ʃʰ i x ɮ ɛː
цөвтэй	t͡sʰ o w tʰ ɛ j
цөгцний	t͡sʰ o ɡ t͡sʰ n iː
цөгцтэй	t͡sʰ o ɡ t͡sʰ tʰ ɛ j
цөл	t͡sʰ o ɮ
цөлжиж	t͡sʰ o ɮ t͡ʃ i t͡ʃ
цөлснийг	t͡sʰ o ɮ s n iː ɡ
цөм	t͡sʰ o m
цөмийн	t͡sʰ o m iː n
цөмөөрөө	t͡sʰ o m oː r oː
цөмөөс	t͡sʰ o m oː s
цөсийг	t͡sʰ o s iː ɡ
цөстэй	t͡sʰ o s tʰ ɛ j
цөхрөв	t͡sʰ o x r o w
цөхрөл	t͡sʰ o x r o ɮ
цөхрөн	t͡sʰ o x r o n
цөхөрдөг	t͡sʰ o x o r t o ɡ
цөхөртлөө	t͡sʰ o x o r tʰ ɮ oː
цөхөхдөө	t͡sʰ o x o x t oː
цөөн	t͡sʰ oː n
цөөнгүй	t͡sʰ oː n ɡ u j
цөөнтэй	t͡sʰ oː n tʰ ɛ j
цөөнхийн	t͡sʰ oː n x iː n
цөөтэй	t͡sʰ oː tʰ ɛ j
цөөхөн	t͡sʰ oː x o n
цөөхөнтэй	t͡sʰ oː x o n tʰ ɛ j
ч	t͡ʃʰ
чааваас	t͡ʃʰ aː w aː s
чавга	t͡ʃʰ a w ɡ a
чавганц	t͡ʃʰ a w ɡ a n t͡sʰ
чавганцад	t͡ʃʰ a w ɡ a n t͡sʰ a t
чавхдасаар	t͡ʃʰ a w x t a s aː r
чагаа	t͡ʃʰ a ɡ aː
чагжа	t͡ʃʰ a ɡ t͡ʃ a
чагнаач	t͡ʃʰ a ɡ n aː t͡ʃʰ
чагнадаг	t͡ʃʰ a ɡ n a t a ɡ
чагнаж	t͡ʃʰ a ɡ n a t͡ʃ
чагнасаар	t͡ʃʰ a ɡ n a s aː r
чагнах	t͡ʃʰ a ɡ n a x
чагтыг	t͡ʃʰ a ɡ tʰ iː ɡ
чад	t͡ʃʰ a t
чадаагүй	t͡ʃʰ a t aː ɡ u j
чадаагүйдээ	t͡ʃʰ a t aː ɡ u j t ɛː
чадаад	t͡ʃʰ a t aː t
чадав	t͡ʃʰ a t a w
чадавхаараа	t͡ʃʰ a t a w x aː r aː
чадаж	t͡ʃʰ a t a t͡ʃ
чадал	t͡ʃʰ a t a ɮ
чадалгүй	t͡ʃʰ a t a ɮ ɡ u j
чадалтай	t͡ʃʰ a t a ɮ tʰ a j
чадалтайгаар	t͡ʃʰ a t a ɮ tʰ a j ɡ aː r
чадамгүй	t͡ʃʰ a t a m ɡ u j
чадамжийг	t͡ʃʰ a t a m t͡ʃ iː ɡ
чадамжтай	t͡ʃʰ a t a m t͡ʃ tʰ a j
чадан	t͡ʃʰ a t a n
чаданги	t͡ʃʰ a t a n ɡ i
чадах	t͡ʃʰ a t a x
чадахаа	t͡ʃʰ a t a x aː
чадахаар	t͡ʃʰ a t a x aː r
чадахаараа	t͡ʃʰ a t a x aː r aː
чадахгүй	t͡ʃʰ a t a x ɡ u j
чадахгүйг	t͡ʃʰ a t a x ɡ u j ɡ
чадахгүйд	t͡ʃʰ a t a x ɡ u j t
чадахгүйн	t͡ʃʰ a t a x ɡ u j n
чадахуйц	t͡ʃʰ a t a x ʊi t͡sʰ
чадвал	t͡ʃʰ a t w a ɮ
чадвар	t͡ʃʰ a t w a r
чадвараа	t͡ʃʰ a t w a r aː
чадвараар	t͡ʃʰ a t w a r aː r
чадваргүй	t͡ʃʰ a t w a r ɡ u j
чадварлаг	t͡ʃʰ a t w a r ɮ a ɡ
чадвартай	t͡ʃʰ a t w a r tʰ a j
чадварыг	t͡ʃʰ a t w a r iː ɡ
чадварын	t͡ʃʰ a t w a r iː n
чаддаг	t͡ʃʰ a t t a ɡ
чаддаггүй	t͡ʃʰ a t t a ɡ ɡ u j
чаддагийг	t͡ʃʰ a t t a ɡ iː ɡ
чаджээ	t͡ʃʰ a t t͡ʃ ɛː
чадлаа	t͡ʃʰ a t ɮ aː
чадлаараа	t͡ʃʰ a t ɮ aː r aː
чадлыг	t͡ʃʰ a t ɮ iː ɡ
чадна	t͡ʃʰ a t n a
чадсан	t͡ʃʰ a t s a n
чадсанаа	t͡ʃʰ a t s a n aː
чадсангүй	t͡ʃʰ a t s a n ɡ u j
чадсаныг	t͡ʃʰ a t s a n iː ɡ
чалчаад	t͡ʃʰ a ɮ t͡ʃʰ aː t
чамаас	t͡ʃʰ a m aː s
чамаасаа	t͡ʃʰ a m aː s aː
чамайг	t͡ʃʰ a m a j ɡ
чамайгаа	t͡ʃʰ a m a j ɡ aː
чамгүй	t͡ʃʰ a m ɡ u j
чамд	t͡ʃʰ a m t
чамдаа	t͡ʃʰ a m t aː
чамин	t͡ʃʰ a m i n
чамирхах	t͡ʃʰ a m i r x a x
чамлахгүй	t͡ʃʰ a m ɮ a x ɡ u j
чамтай	t͡ʃʰ a m tʰ a j
чамтайгаа	t͡ʃʰ a m tʰ a j ɡ aː
чанад	t͡ʃʰ a n a t
чанадаас	t͡ʃʰ a n a t aː s
чанар	t͡ʃʰ a n a r
чанараасаа	t͡ʃʰ a n a r aː s aː
чанартай	t͡ʃʰ a n a r tʰ a j
чанарыг	t͡ʃʰ a n a r iː ɡ
чанарын	t͡ʃʰ a n a r iː n
чанга	t͡ʃʰ a n ɡ a
чангаар	t͡ʃʰ a n ɡ aː r
чангалах	t͡ʃʰ a n ɡ a ɮ a x
чангарна	t͡ʃʰ a n ɡ a r n a
чангахан	t͡ʃʰ a n ɡ a x a n
чанд	t͡ʃʰ a n t
чандар	t͡ʃʰ a n t a r
чандлан	t͡ʃʰ a n t ɮ a n
чарга	t͡ʃʰ a r ɡ a
чарлаад	t͡ʃʰ a r ɮ aː t
чарлаж	t͡ʃʰ a r ɮ a t͡ʃ
чарльз	t͡ʃʰ a r ɮʲ t͡s
чармайн	t͡ʃʰ a r m a j n
чармайна	t͡ʃʰ a r m a j n a
чацарганатай	t͡ʃʰ a t͡sʰ a r ɡ a n a tʰ a j
чацга	t͡ʃʰ a t͡sʰ ɡ a
чацуу	t͡ʃʰ a t͡sʰ ʊː
челси	t͡ʃʰ j i ɮ s i
чемодан	t͡ʃʰ j i m ɔ t a n
чемоданаа	t͡ʃʰ j i m ɔ t a n aː
чен	t͡ʃʰ j i n
ченжид	t͡ʃʰ j i n t͡ʃ i t
чех	t͡ʃʰ j i x
чи	t͡ʃʰ i
чив	t͡ʃʰ i w
чиг	t͡ʃʰ i ɡ
чиглэв	t͡ʃʰ i ɡ ɮ ɛ w
чиглэж	t͡ʃʰ i ɡ ɮ ɛ t͡ʃ
чиглэл	t͡ʃʰ i ɡ ɮ ɛ ɮ
чиглэлийн	t͡ʃʰ i ɡ ɮ ɛ ɮ iː n
чиглэлт	t͡ʃʰ i ɡ ɮ ɛ ɮ tʰ
чиглэлтэй	t͡ʃʰ i ɡ ɮ ɛ ɮ tʰ ɛ j
чиглэлээр	t͡ʃʰ i ɡ ɮ ɛ ɮ ɛː r
чиглэн	t͡ʃʰ i ɡ ɮ ɛ n
чиглэсэн	t͡ʃʰ i ɡ ɮ ɛ s ɛ n
чиглүүлж	t͡ʃʰ i ɡ ɮ uː ɮ t͡ʃ
чиглүүлэн	t͡ʃʰ i ɡ ɮ uː ɮ ɛ n
чиглүүлэх	t͡ʃʰ i ɡ ɮ uː ɮ ɛ x
чиглүүлээд	t͡ʃʰ i ɡ ɮ uː ɮ ɛː t
чигт	t͡ʃʰ i ɡ tʰ
чигтээ	t͡ʃʰ i ɡ tʰ ɛː
чигээ	t͡ʃʰ i ɡ ɛː
чигээр	t͡ʃʰ i ɡ ɛː r
чигээрээ	t͡ʃʰ i ɡ ɛː r ɛː
чийг	t͡ʃʰ iː ɡ
чийгт	t͡ʃʰ iː ɡ tʰ
чийгшил	t͡ʃʰ iː ɡ ʃ i ɮ
чийдэнгийн	t͡ʃʰ iː t ɛ n ɡ iː n
чийрэг	t͡ʃʰ iː r ɛ ɡ
чийхарчихсан	t͡ʃʰ iː x a r t͡ʃʰ i x s a n
чилж	t͡ʃʰ i ɮ t͡ʃ
чилээ	t͡ʃʰ i ɮ ɛː
чимгээ	t͡ʃʰ i m ɡ ɛː
чимж	t͡ʃʰ i m t͡ʃ
чимнэ	t͡ʃʰ i m n ɛ
чимхлүүр	t͡ʃʰ i m x ɮ uː r
чимэг	t͡ʃʰ i m ɛ ɡ
чимэггүй	t͡ʃʰ i m ɛ ɡ ɡ u j
чимэглэлд	t͡ʃʰ i m ɛ ɡ ɮ ɛ ɮ t
чимэглэлийн	t͡ʃʰ i m ɛ ɡ ɮ ɛ ɮ iː n
чимэглэлтэй	t͡ʃʰ i m ɛ ɡ ɮ ɛ ɮ tʰ ɛ j
чимээ	t͡ʃʰ i m ɛː
чимээгээр	t͡ʃʰ i m ɛː ɡ ɛː r
чимээгүй	t͡ʃʰ i m ɛː ɡ u j
чимээгүйд	t͡ʃʰ i m ɛː ɡ u j t
чимээгүйхэн	t͡ʃʰ i m ɛː ɡ u j x ɛ n
чимээнээс	t͡ʃʰ i m ɛː n ɛː s
чин	t͡ʃʰ i n
чинбаттай	t͡ʃʰ i n p a tʰtʰ a j
чингис	t͡ʃʰ i n ɡ i s
чингисийн	t͡ʃʰ i n ɡ i s iː n
чингэж	t͡ʃʰ i n ɡ ɛ t͡ʃ
чингүнжав	t͡ʃʰ i n ɡ u n t͡ʃ a w
чиний	t͡ʃʰ i n iː
чинь	t͡ʃʰ i nʲ
чинэрч	t͡ʃʰ i n ɛ r t͡ʃʰ
чинээ	t͡ʃʰ i n ɛː
чинээгээр	t͡ʃʰ i n ɛː ɡ ɛː r
чинээлэг	t͡ʃʰ i n ɛː ɮ ɛ ɡ
чинээнд	t͡ʃʰ i n ɛː n t
чинээний	t͡ʃʰ i n ɛː n iː
чинээнийхээ	t͡ʃʰ i n ɛː n iː x ɛː
чинүүхэй	t͡ʃʰ i n uː x ɛ j
чипс	t͡ʃʰ i pʰ s
чиргүүл	t͡ʃʰ i r ɡ uː ɮ
чирсэн	t͡ʃʰ i r s ɛ n
чирч	t͡ʃʰ i r t͡ʃʰ
чирэгдэл	t͡ʃʰ i r ɛ ɡ t ɛ ɮ
чирээд	t͡ʃʰ i r ɛː t
чих	t͡ʃʰ i x
чихнийхээ	t͡ʃʰ i x n iː x ɛː
чихнээс	t͡ʃʰ i x n ɛː s
чихрийн	t͡ʃʰ i x r iː n
чихрээ	t͡ʃʰ i x r ɛː
чихрээр	t͡ʃʰ i x r ɛː r
чихрээс	t͡ʃʰ i x r ɛː s
чихэвчээр	t͡ʃʰ i x ɛ w t͡ʃʰ ɛː r
чихэнд	t͡ʃʰ i x ɛ n t
чихэндээ	t͡ʃʰ i x ɛ n t ɛː
чихэр	t͡ʃʰ i x ɛ r
чичирч	t͡ʃʰ i t͡ʃʰ i r t͡ʃʰ
чичрэв	t͡ʃʰ i t͡ʃʰ r ɛ w
чичрэн	t͡ʃʰ i t͡ʃʰ r ɛ n
чичрэх	t͡ʃʰ i t͡ʃʰ r ɛ x
чого	t͡ʃʰ ɔ ɡ ɔ
чойбалсан	t͡ʃʰ ɔ j p a ɮ s a n
чойбалсанд	t͡ʃʰ ɔ j p a ɮ s a n t
чоно	t͡ʃʰ ɔ n ɔ
чононуудын	t͡ʃʰ ɔ n ɔ n ʊː t iː n
чонын	t͡ʃʰ ɔ n iː n
чулуу	t͡ʃʰ ʊ ɮ ʊː
чулууг	t͡ʃʰ ʊ ɮ ʊː ɡ
чулуугаар	t͡ʃʰ ʊ ɮ ʊː ɡ aː r
чулуудаж	t͡ʃʰ ʊ ɮ ʊː t a t͡ʃ
чулуун	t͡ʃʰ ʊ ɮ ʊː n
чулуунаас	t͡ʃʰ ʊ ɮ ʊː n aː s
чулуунд	t͡ʃʰ ʊ ɮ ʊː n t
чулуунууд	t͡ʃʰ ʊ ɮ ʊː n ʊː t
чулуунуудыг	t͡ʃʰ ʊ ɮ ʊː n ʊː t iː ɡ
чулуунуудын	t͡ʃʰ ʊ ɮ ʊː n ʊː t iː n
чулууны	t͡ʃʰ ʊ ɮ ʊː n iː
чуулган	t͡ʃʰ ʊː ɮ ɡ a n
чухал	t͡ʃʰ ʊ x a ɮ
чухалчилдаг	t͡ʃʰ ʊ x a ɮ t͡ʃʰ i ɮ t a ɡ
чухалчилж	t͡ʃʰ ʊ x a ɮ t͡ʃʰ i ɮ t͡ʃ
чухам	t͡ʃʰ ʊ x a m
чухамдаа	t͡ʃʰ ʊ x a m t aː
чухамхүү	t͡ʃʰ ʊ x a m x uː
чухлаар	t͡ʃʰ ʊ x ɮ aː r
чухлыг	t͡ʃʰ ʊ x ɮ iː ɡ
чүлтэм	t͡ʃʰ u ɮ tʰ ɛ m
чүлтэмтэй	t͡ʃʰ u ɮ tʰ ɛ m tʰ ɛ j
чөдөрлөж	t͡ʃʰ o t o r ɮ o t͡ʃ
чөлөө	t͡ʃʰ o ɮ oː
чөлөөг	t͡ʃʰ o ɮ oː ɡ
чөлөөгөөр	t͡ʃʰ o ɮ oː ɡ oː r
чөлөөлсөн	t͡ʃʰ o ɮ oː ɮ s o n
чөлөөлөгдсөн	t͡ʃʰ o ɮ oː ɮ o ɡ t s o n
чөлөөлөгдөх	t͡ʃʰ o ɮ oː ɮ o ɡ t o x
чөлөөлөх	t͡ʃʰ o ɮ oː ɮ o x
чөлөөт	t͡ʃʰ o ɮ oː tʰ
чөлөөтэй	t͡ʃʰ o ɮ oː tʰ ɛ j
чөмөг	t͡ʃʰ o m o ɡ
чөтгөр	t͡ʃʰ o tʰ ɡ o r
чөтгөрийг	t͡ʃʰ o tʰ ɡ o r iː ɡ
чөтгөрийн	t͡ʃʰ o tʰ ɡ o r iː n
ш	ʃ
шаагин	ʃ aː ɡ i n
шаагих	ʃ aː ɡ i x
шаагьсаар	ʃ aː ɡʲ s aː r
шаадаг	ʃ aː t a ɡ
шаазан	ʃ aː t͡s a n
шаазгай	ʃ aː t͡s ɡ a j
шаардав	ʃ aː r t a w
шаардагдана	ʃ aː r t a ɡ t a n a
шаардагдах	ʃ aː r t a ɡ t a x
шаардагдахгүй	ʃ aː r t a ɡ t a x ɡ u j
шаардаж	ʃ aː r t a t͡ʃ
шаарддаг	ʃ aː r t t a ɡ
шаардлага	ʃ aː r t ɮ a ɡ a
шаардлагагүй	ʃ aː r t ɮ a ɡ a ɡ u j
шаардлагад	ʃ aː r t ɮ a ɡ a t
шаардлагатай	ʃ aː r t ɮ a ɡ a tʰ a j
шаардлагатайг	ʃ aː r t ɮ a ɡ a tʰ a j ɡ
шаардлагыг	ʃ aː r t ɮ a ɡ iː ɡ
шаарын	ʃ aː r iː n
шаахай	ʃ aː x a j
шаварт	ʃ a w a r tʰ
шавах	ʃ a w a x
шавдуулах	ʃ a w t ʊː ɮ a x
шавж	ʃ a w t͡ʃ
шавжийг	ʃ a w t͡ʃ iː ɡ
шавжны	ʃ a w t͡ʃ n iː
шавжуудын	ʃ a w t͡ʃ ʊː t iː n
шавраар	ʃ a w r aː r
шавхаж	ʃ a w x a t͡ʃ
шавхан	ʃ a w x a n
шавхийсэн	ʃ a w x iː s ɛ n
шавхсаар	ʃ a w x s aː r
шавь	ʃ a wʲ
шавьдаа	ʃ a wʲ t aː
шавьж	ʃ a wʲ t͡ʃ
шагайх	ʃ a ɡ a j x
шагдар	ʃ a ɡ t a r
шагнал	ʃ a ɡ n a ɮ
шагналаа	ʃ a ɡ n a ɮ aː
шагналыг	ʃ a ɡ n a ɮ iː ɡ
шагналын	ʃ a ɡ n a ɮ iː n
шагнана	ʃ a ɡ n a n a
шагнуулж	ʃ a ɡ n ʊː ɮ t͡ʃ
шагнуулсан	ʃ a ɡ n ʊː ɮ s a n
шагшигдаж	ʃ a ɡ ʃ i ɡ t a t͡ʃ
шадар	ʃ a t a r
шадарлаж	ʃ a t a r ɮ a t͡ʃ
шадрууд	ʃ a t r ʊː t
шажигнан	ʃ a t͡ʃ i ɡ n a n
шазуураар	ʃ a t͡s ʊː r aː r
шал	ʃ a ɮ
шалаанд	ʃ a ɮ aː n t
шалавлан	ʃ a ɮ a w ɮ a n
шаламгай	ʃ a ɮ a m ɡ a j
шалан	ʃ a ɮ a n
шалбааг	ʃ a ɮ p aː ɡ
шалгаа	ʃ a ɮ ɡ aː
шалгаад	ʃ a ɮ ɡ aː t
шалгаасангүй	ʃ a ɮ ɡ aː s a n ɡ u j
шалгав	ʃ a ɮ ɡ a w
шалгадаг	ʃ a ɮ ɡ a t a ɡ
шалгадаггүй	ʃ a ɮ ɡ a t a ɡ ɡ u j
шалгаж	ʃ a ɮ ɡ a t͡ʃ
